name	clade	group
gfAmaRube_ENA|OZ253841|OZ253841.1_000338.1	Fungi	CENPA
gfAgrPrae_ENA|OZ024843|OZ024843.1_000498.1	Fungi	CENPA
gfInoObsi1_rescue1	Fungi	CENPA
gfChlBrun_ENA|OY756142|OY756142.1_001179.1	Fungi	CENPA
gfAgaBisp1_chr_3_000443.1	Fungi	CENPA
tzMemMemb1_chr_1_002492.1	Invertebrates	H3
tzBugStol2_rescue20	Invertebrates	CENPA
wcLumRube1_rescue16	Invertebrates	CENPA
eaMarGlac1_chr_14_000878.1	Invertebrates	CENPA
gsMetZobe1_chr_4_000357.1	Fungi	CENPA
xgPatPell1_rescue15	Invertebrates	CENPA
wpAliVire1_chr_14_000549.1	Invertebrates	CENPA
wpLepClav1_chr_16_000255.1	Invertebrates	CENPA
wpSthLimi1_chr_4_002033.1	Invertebrates	CENPA
tnLinLong1_chr_17_000931.1	Invertebrates	CENPA
xgPhoLine1_chr_17_001777.1	Invertebrates	CENPA
fAloSap1_chr_21_000805.1	Vertebrates	CENPA
fDanRer4_rescue15	Vertebrates	CENPA
fBarBab1_chr_19_000038.1	Vertebrates	CENPA
fBarBab1_chr_27_000024.1	Vertebrates	CENPA
fPanHyp1_SUPER_9_001017.1	Vertebrates	CENPA
fTauBub2_chr_19_000903.1	Vertebrates	CENPA
fToxJac2_chr_16_000986.1	Vertebrates	CENPA
fThuAlb1_chr_19_000629.1	Vertebrates	CENPA
fThuMac1_chr_15_000097.1	Vertebrates	CENPA
fTelBon1_chr_17_000483.1	Vertebrates	CENPA
fTraTra1_chr_12_000542.1	Vertebrates	CENPA
fPhoGun1_chr_18_000926.1	Vertebrates	CENPA
xbGarTell2_chr_18_000052.1	Invertebrates	CENPA
fAciRut3_chr_38_000217.1	Vertebrates	CENPA
fAciRut3_chr_41_000200.1	Vertebrates	CENPA
mCanLor1_chr_17_000422.1	Vertebrates	CENPA
mEleMax1_chunk3_chr_12_000096.1	Vertebrates	CENPA
mLemCat1_chr_4_000064.1	Vertebrates	CENPA
mCerEla1_chunk1_chr_11_000215.1	Vertebrates	CENPA
mOrcOrc1_chunk2_chr_13_000413.1	Vertebrates	CENPA
mMelMel3_chunk3_chr_15_000067.1	Vertebrates	CENPA
mDicBic1_chunk2_chr_12_000342.1	Vertebrates	CENPA
mDicBic1_chunk_2_chr_12_000342.1	Vertebrates	CENPA
rVipLat1_chr_2_003261.1	Vertebrates	CENPA
bGalGal1_rescue20	Vertebrates	CENPA
bGalGal1_GRCg7b_chr_16_000087.1	Vertebrates	CENPA
bGalGal1_rescue6	Vertebrates	CENPA
bTaeGut1_chr_30_000077.1	Vertebrates	CENPA
bTaeGut1_chr_30_000089.1	Vertebrates	CENPA
bAccGen1_chr_36_000029.1	Vertebrates	CENPA
bTaeGut1_chr_W_000142.1	Vertebrates	CENPA
bCorHaw1_chr_37_000002.1	Vertebrates	CENPA
bPorHoc1_chr_31_000033.1	Vertebrates	CENPA
drHedHeli1_SUPER_9_001915.1	Viridiplantae	CENPA
ucDunPrim2_chr_9_000632.1	Viridiplantae	CENPA
cjHerHutc3_rescue15	Viridiplantae	CENPA
cmLunCruc20_rescue8	Viridiplantae	CENPA
ucMarCocc_ENA|OY978102|OY978102.1_000133.1	Viridiplantae	CENPA
ucPycProv1_rescue20	Viridiplantae	CENPA
ucPycProv1_rescue7	Viridiplantae	CENPA
ucPycProv1_rescue10	Viridiplantae	CENPA
ucPycProv1_rescue18	Viridiplantae	CENPA
ucPycProv1_rescue17	Viridiplantae	CENPA
ucPycProv1_rescue14	Viridiplantae	CENPA
ucPycProv1_rescue12	Viridiplantae	CENPA
ucPycProv1_rescue19	Viridiplantae	CENPA
csSphGirg_ENA|OZ244420|OZ244420.1_000789.1	Viridiplantae	CENPA
caAndHook_ENA|OZ246429|OZ246429.1_000197.1	Viridiplantae	CENPA
cbPolSexa_ENA|OZ222685|OZ222685.1_001054.1	Viridiplantae	CENPA
cbPolSexa_ENA|OZ222686|OZ222686.1_001111.1	Viridiplantae	CENPA
cbRhyLore1_SUPER_3_003020.1	Viridiplantae	CENPA
cbRhyConf_ENA|OZ259494|OZ259494.1_000729.1	Viridiplantae	CENPA
cbCalCord2_ENA|OZ209173|OZ209173.1_000634.1	Viridiplantae	CENPA
cbIsoPulc3_ENA|OZ210568|OZ210568.1_000797.1	Viridiplantae	CENPA
cbHylTriq_ENA|OZ249204|OZ249204.1_001870.1	Viridiplantae	CENPA
cbCalCord2_ENA|OZ209170|OZ209170.1_000696.1	Viridiplantae	CENPA
cbIsoPulc3_ENA|OZ210567|OZ210567.1_000808.1	Viridiplantae	CENPA
cbThuTama2_SUPER_8_000860.1	Viridiplantae	CENPA
cbThuTama2_SUPER_3_000079.1	Viridiplantae	CENPA
cbIsoPulc3_ENA|OZ210566|OZ210566.1_001820.1	Viridiplantae	CENPA
cbIsoPulc3_ENA|OZ210564|OZ210564.1_001813.1	Viridiplantae	CENPA
cbRhyConf_ENA|OZ259491|OZ259491.1_000841.1	Viridiplantae	CENPA
cbCalCord2_ENA|OZ209165|OZ209165.1_000787.1	Viridiplantae	CENPA
cbCalCord2_ENA|OZ209167|OZ209167.1_000760.1	Viridiplantae	CENPA
cbHylTriq_ENA|OZ249201|OZ249201.1_003282.1	Viridiplantae	CENPA
cbRhyLore1_SUPER_3_001400.1	Viridiplantae	CENPA
laLemMinu1_ENA|OZ204783|OZ204783.1_000776.1	Viridiplantae	CENPA
dcPolAvic1_chr_7_002442.1	Viridiplantae	CENPA
dcPolAvic1_chr_6_001888.1	Viridiplantae	CENPA
dcPolAvic1_chr_9_001133.1	Viridiplantae	CENPA
laAliPlan1_ENA_OY856409__000374.1	Viridiplantae	CENPA
laApoDist1_Chr3_000391.1	Viridiplantae	CENPA
laPotNata_ENA|OZ242055|OZ242055.1_001789.1	Viridiplantae	CENPA
laPotNata_ENA|OZ242056|OZ242056.1_002267.1	Viridiplantae	CENPA
daTanVulg1_GCA_964264315_chr_Chr9_009480.1	Viridiplantae	CENPA
daTanVulg1_GCA_964264315_chr_Chr8_000942.1	Viridiplantae	CENPA
daArcMinu1_SUPER_4_003289.1	Viridiplantae	CENPA
daPulDyse1_SUPER_8_000539.1	Viridiplantae	CENPA
ddHotPalu_ENA|OZ247575|OZ247575.1_000886.1	Viridiplantae	CENPA
daSamNigr1_nigra_SamNigr_chr17_000158.1	Viridiplantae	CENPA
drHedHeli1_SUPER_9_000037.1	Viridiplantae	CENPA
drHedHeli1_SUPER_24_000828.1	Viridiplantae	CENPA
daSolDulc1_SUPER_4_000765.1	Viridiplantae	CENPA
drChaAngu1_SUPER_4_001038.1	Viridiplantae	CENPA
drChaAngu1_SUPER_12_000200.1	Viridiplantae	CENPA
daLinVulg1_SUPER_6_002057.1	Viridiplantae	CENPA
daMisOron1_SUPER_4_002006.1	Viridiplantae	CENPA
daSheArve1_SUPER_4_002238.1	Viridiplantae	CENPA
daBalNigr1_SUPER_2_003653.1	Viridiplantae	CENPA
daBalNigr1_SUPER_6_001114.1	Viridiplantae	CENPA
daScuGale1_SUPER_12_000038.1	Viridiplantae	CENPA
drUrtUren1_SUPER_7_000167.1	Viridiplantae	CENPA
drUrtUren1_SUPER_7_000978.1	Viridiplantae	CENPA
dcSpeMari_ENA|OY804549|OY804549.1_000611.1	Viridiplantae	CENPA
dcSpeMari_ENA|OY804556|OY804556.1_000562.1	Viridiplantae	CENPA
dcMoeTrin_ENA|OZ066944|OZ066944.1_002309.1	Viridiplantae	CENPA
dcAreSerp_ENA|OZ174158|OZ174158.1_003483.1	Viridiplantae	CENPA
dcAreSerp_ENA|OZ174166|OZ174166.1_000051.1	Viridiplantae	CENPA
dcPolTetr_ENA|OZ251117|OZ251117.1_002414.1	Viridiplantae	CENPA
dcPolTetr_ENA|OZ251134|OZ251134.1_000830.1	Viridiplantae	CENPA
dcPolTetr_ENA|OZ251127|OZ251127.1_002546.1	Viridiplantae	CENPA
dcPolTetr_ENA|OZ251114|OZ251114.1_000944.1	Viridiplantae	CENPA
drAilAlti1_SUPER_2_000977.1	Viridiplantae	CENPA
drAilAlti1_SUPER_1_001962.1	Viridiplantae	CENPA
ddAraThal4_chr_1_000021.1	Viridiplantae	CENPA
ddBarVulg_ENA|OY763889|OY763889.1_002303.1	Viridiplantae	CENPA
ddCarHirs_ENA|OZ156418|OZ156418.1_004759.1	Viridiplantae	CENPA
ddEupPepu3_SUPER_7_001940.1	Viridiplantae	CENPA
drParJuda1_SUPER_5_002377.1	Viridiplantae	CENPA
drParJuda1_SUPER_6_000751.1	Viridiplantae	CENPA
ddMerAnnu1_chr_LG5_002250.1	Viridiplantae	CENPA
ddPopNigr_ENA|OX637673|OX637673.1_000534.1	Viridiplantae	CENPA
dhQueRobu3_chr_4_003322.1	Viridiplantae	CENPA
dhAlnGlut1_SUPER_3_002173.1	Viridiplantae	CENPA
dhCorColu_ENA|OZ247468|OZ247468.1_002291.1	Viridiplantae	CENPA
drAstGlyc_ENA|OY754307|OY754307.1_003561.1	Viridiplantae	CENPA
drAstGlyc_ENA|OY754311|OY754311.1_002329.1	Viridiplantae	CENPA
drMedArab1_SUPER_5_000452.1	Viridiplantae	CENPA
drTriFrag1_SUPER_4_000534.1	Viridiplantae	CENPA
drTriFrag1_SUPER_4_003909.1	Viridiplantae	CENPA
drMalDome5_chr_3_000733.1	Viridiplantae	CENPA
drMalSylv7_chr_3_000736.1	Viridiplantae	CENPA
drMalDome5_chr_7_002109.1	Viridiplantae	CENPA
drMalSylv7_chr_7_002063.1	Viridiplantae	CENPA
drMalDome5_chr_1_001959.1	Viridiplantae	CENPA
drMalSylv7_chr_1_001941.1	Viridiplantae	CENPA
drGeuUrba1_SUPER_3_003430.1	Viridiplantae	CENPA
drGeuRiva_ENA|OZ123680|OZ123680.1_001094.1	Viridiplantae	CENPA
drGeuUrba1_SUPER_4_001309.1	Viridiplantae	CENPA
drGeuUrba1_SUPER_1_001199.1	Viridiplantae	CENPA
drGeuRiva_ENA|OZ123678|OZ123678.1_001365.1	Viridiplantae	CENPA
drFilUlma1_SUPER_3_002751.1	Viridiplantae	CENPA
drFilUlma1_SUPER_7_003538.1	Viridiplantae	CENPA
drFilUlma1_SUPER_5_003094.1	Viridiplantae	CENPA
drPotAnse1_chr_7_002172.1	Viridiplantae	CENPA
rosCan_S27_v1_rescue5	Viridiplantae	CENPA
rosCan_subseq1_Rca1_R3_004165.1	Viridiplantae	CENPA
rosCan_subseq1_Rca1_R4_003919.1	Viridiplantae	CENPA
rosCan_S27_v1_rescue6	Viridiplantae	CENPA
rosCan_subseq1_Rca1_S2_004089.1	Viridiplantae	CENPA
rosCan_subseq1_Rca1_S1_h1_004331.1	Viridiplantae	CENPA
rosCan_subseq1_Rca1_S1_h2_004335.1	Viridiplantae	CENPA
dmBerVulg_ENA|OY747126|OY747126.1_000149.1	Viridiplantae	CENPA
dmBerVulg_ENA|OY747131|OY747131.1_000095.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239702|OZ239702.1_004154.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239688|OZ239688.1_004868.1	Viridiplantae	CENPA
dmAquVulg_ENA|OZ198186|OZ198186.1_002113.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239695|OZ239695.1_002226.1	Viridiplantae	CENPA
dmAquVulg_ENA|OZ198186|OZ198186.1_002249.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239695|OZ239695.1_002366.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239688|OZ239688.1_000081.1	Viridiplantae	CENPA
dmThaMinu_ENA|OZ239702|OZ239702.1_000088.1	Viridiplantae	CENPA
laTriMari_ENA|OY821770|OY821770.1_001192.1	Viridiplantae	CENPA
laTriMari_ENA|OY821779|OY821779.1_001097.1	Viridiplantae	CENPA
lpJunEffu1_SUPER_6_000665.1	Viridiplantae	CENPA
lpJunSqua1_rescue18	Viridiplantae	CENPA
lpJunBufo_ENA|OZ263730|OZ263730.1_000539.1	Viridiplantae	CENPA
lpJunBufo_ENA|OZ263723|OZ263723.1_000578.1	Viridiplantae	CENPA
lpJunBufo_ENA|OZ263725|OZ263725.1_000072.1	Viridiplantae	CENPA
lpLuzSylv1_SUPER_1_004784.1	Viridiplantae	CENPA
lpLuzSylv1_SUPER_4_002983.1	Viridiplantae	CENPA
lpLuzPall_ENA|OZ187632|OZ187632.1_002533.1	Viridiplantae	CENPA
lpLuzSylv1_SUPER_5_000676.1	Viridiplantae	CENPA
lpLuzPall_ENA|OZ187630|OZ187630.1_000126.1	Viridiplantae	CENPA
lpLuzPall_ENA|OZ187630|OZ187630.1_000127.1	Viridiplantae	CENPA
lpLuzPall_ENA|OZ187630|OZ187630.1_004630.1	Viridiplantae	CENPA
lpLuzPall_ENA|OZ187630|OZ187630.1_004629.1	Viridiplantae	CENPA
lpEleQuin_ENA|OZ060287|OZ060287.1_000589.1	Viridiplantae	CENPA
lpEleQuin_ENA|OZ060309|OZ060309.1_000202.1	Viridiplantae	CENPA
lpCypFusc_ENA|OZ210609|OZ210609.1_000486.1	Viridiplantae	CENPA
lpCarDepa1_SUPER_1_001836.1	Viridiplantae	CENPA
lpTriCesp_ENA|OZ238316|OZ238316.1_000144.1	Viridiplantae	CENPA
lpEriAngu_ENA|OZ259050|OZ259050.1_000184.1	Viridiplantae	CENPA
lpSciSylv_ENA|OZ223724|OZ223724.1_000621.1	Viridiplantae	CENPA
lpSchTriq_ENA|OZ060270|OZ060270.1_001509.1	Viridiplantae	CENPA
lpSchLacu1_SUPER_14_001552.1	Viridiplantae	CENPA
lpSchTabe_ENA|OZ255982|OZ255982.1_001530.1	Viridiplantae	CENPA
lpSchTabe_ENA|OZ255977|OZ255977.1_001315.1	Viridiplantae	CENPA
lpSchLacu1_SUPER_10_000449.1	Viridiplantae	CENPA
lpSchTriq_ENA|OZ060265|OZ060265.1_000418.1	Viridiplantae	CENPA
ldNarOssi_ENA|OY986965|OY986965.1_000826.1	Viridiplantae	CENPA
lsIriFoet1_GCA_964204905_chr_Chr5_001067.1	Viridiplantae	CENPA
lpSpaEmer_ENA|OZ243049|OZ243049.1_000484.1	Viridiplantae	CENPA
lpSpaEmer_ENA|OZ243057|OZ243057.1_000171.1	Viridiplantae	CENPA
lpPhrAust1_SUPER_9_001237.1	Viridiplantae	CENPA
lpPhrAust1_SUPER_11_001317.1	Viridiplantae	CENPA
lpDigSang_ENA|OZ156432|OZ156432.1_001273.1	Viridiplantae	CENPA
lpDigSang_ENA|OZ156436|OZ156436.1_001160.1	Viridiplantae	CENPA
lpDigSang_ENA|OZ156432|OZ156432.1_001272.1	Viridiplantae	CENPA
lpDigSang_ENA|OZ156436|OZ156436.1_001159.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174310|OZ174310.1_003604.1	Viridiplantae	CENPA
lpLeeOryz_ENA|OZ228960|OZ228960.1_003231.1	Viridiplantae	CENPA
lpPoaChai_ENA|OZ173747|OZ173747.1_000064.1	Viridiplantae	CENPA
lpHorVulg1_vulgare_Chr7_002188.1	Viridiplantae	CENPA
lpBroSter1_ENA|OX465599|OX465599.1_003768.1	Viridiplantae	CENPA
lpBroSter1_ENA|OX465601|OX465601.1_004647.1	Viridiplantae	CENPA
lpBroSter1_ENA|OX465601|OX465601.1_000886.1	Viridiplantae	CENPA
lpHorVulg1_vulgare_Chr7_004138.1	Viridiplantae	CENPA
lpHorVulg1_vulgare_Chr5_004764.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174317|OZ174317.1_005502.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174320|OZ174320.1_004614.1	Viridiplantae	CENPA
lpHieOdor1_odorata_Chr8_004004.1	Viridiplantae	CENPA
lpHieOdor1_odorata_Chr12_004373.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174317|OZ174317.1_005503.1	Viridiplantae	CENPA
lpPoaChai_ENA|OZ173744|OZ173744.1_001275.1	Viridiplantae	CENPA
lpPhlPrat_ENA|OZ273858|OZ273858.1_001346.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174310|OZ174310.1_001356.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174315|OZ174315.1_001201.1	Viridiplantae	CENPA
lpPhlPrat_ENA|OZ273859|OZ273859.1_006049.1	Viridiplantae	CENPA
lpPoaChai_ENA|OZ173747|OZ173747.1_000063.1	Viridiplantae	CENPA
lpLeeOryz_ENA|OZ228964|OZ228964.1_000377.1	Viridiplantae	CENPA
lpLeeOryz_ENA|OZ228968|OZ228968.1_000360.1	Viridiplantae	CENPA
lpPoaChai_ENA|OZ173744|OZ173744.1_001276.1	Viridiplantae	CENPA
lpPhlPrat_ENA|OZ273854|OZ273854.1_005820.1	Viridiplantae	CENPA
lpPhlPrat_ENA|OZ273858|OZ273858.1_001347.1	Viridiplantae	CENPA
lpHieOdor1_odorata_Chr12_005754.1	Viridiplantae	CENPA
lpHieOdor1_odorata_Chr12_005750.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174317|OZ174317.1_005504.1	Viridiplantae	CENPA
lpPolViri_ENA|OZ174320|OZ174320.1_004616.1	Viridiplantae	CENPA
